ndb,tree,cubeSize,output,length,branch
110,0,2,1,2,C.1
110,0,2,2,2,C.2
110,0,2,3,2,C.3
110,0,2,4,2,C.4
110,0,2,5,2,C.5
110,0,2,6,2,C.6
110,0,2,7,2,C.7
110,0,2,8,2,C.8
110,0,2,9,6,A.6
110,0,2,10,6,A.8
110,0,2,11,6,A.10
179,0,2,4,6,A.4
179,0,2,5,6,A.5
179,0,2,6,6,A.6
179,0,2,7,6,A.7
179,0,2,9,9,A.9
179,0,2,11,6,A.11
179,0,2,12,6,A.12
179,0,2,14,6,A.3
179,0,2,15,6,A.1
179,0,2,16,6,A.2
199,0,2,1,6,A.13
199,0,2,2,6,A.14
199,0,2,4,6,A.16
199,0,2,5,4,B.1
199,0,2,6,4,B.2
199,0,2,7,4,B.3
199,0,2,8,4,B.4
199,0,2,9,4,B.5
199,0,2,10,4,B.6
199,0,2,11,4,B.7
199,0,2,12,4,B.8
199,0,2,15,6,A.15
