NDB,OUTPUT,X,Z,Y
1,1,-90.116917,-109.728371,194.82476
1,2,-88.861203,-67.267763,190.308722
1,3,-79.848859,-88.898187,190.721165
1,4,-75.452813,-107.298634,195.932453
1,5,-69.624577,-61.957412,190.96546
1,6,-60.526025,-103.176591,190.517629
1,7,-58.295367,-119.539908,192.4272
1,8,-49.443506,-117.694299,188.800798
1,9,-39.043018,-108.991884,188.419968
1,10,-37.982883,-139.768346,188.607243
1,11,-23.771209,-128.279686,189.026572
1,12,-19.076319,-144.773947,186.728717
1,13,0.470419,-151.834565,183.081604
1,14,1.244842,-122.356699,191.156361
1,15,0.116185,-112.672199,186.425926
1,16,13.872461,-107.721879,184.64039
,,,,
2,1,-42.721445,-61.350878,204.271294
2,2,-33.133937,-71.216717,205.938384
2,3,20.59117,-102.038899,189.619703
2,4,23.41809,-92.086338,200.836038
2,5,40.975596,-101.621058,200.042247
2,6,57.033206,-93.156789,196.61307
2,7,37.085278,-76.123442,201.992385
2,8,45.243816,-65.185008,202.651617
,,,,
3,1,69.396384,-84.121525,200.653402
3,2,74.934729,-72.244365,203.558795
3,3,79.807114,-62.532676,210.11424
3,4,95.963203,-59.548766,213.481455
3,5,104.726637,-40.806988,209.937701
3,6,89.386821,-12.506506,208.353633
3,7,114.477541,-27.071516,206.8319
3,8,104.81107,-1.667379,205.532842
3,9,51.200357,-60.797284,241.33
3,10,82.348448,-74.285452,240.033608
3,11,98.685396,-75.451459,238.880987
3,12,72.367635,-29.303477,240.818678
3,13,95.858444,-34.180259,238.502886
3,14,110.362957,-53.170624,235.945582
,,,,
4,1,81.321889,18.451628,226.00884
4,2,83.406586,33.979357,224.259423
4,3,74.883225,47.14241,221.588084
4,4,57.51508,26.672893,231.408879
4,5,59.363366,52.808404,224.963332
4,6,63.499825,60.842022,215.163301
4,7,99.261931,57.211698,224.090306
4,8,96.10866,76.397809,219.839564
4,9,85.151663,101.468649,216.522087
4,10,103.395856,92.666466,216.795561
4,11,68.541466,89.597722,245.02143
4,12,74.244685,66.087442,251.944398
,,,,
5,1,72.641033,102.476172,231.303535
5,2,57.07523,111.205351,226.832393
5,3,75.19203,126.557845,213.352175
5,4,59.168123,133.142636,216.685511
5,5,44.588132,123.508796,222.337352
5,6,30.70602,113.657095,217.442993
5,7,22.664701,118.6069,215.517997
5,8,11.458812,122.939927,213.025405
5,9,45.38523,90.459461,219.807968
5,10,3.856721,111.280687,226.531308
5,11,-1.712661,121.414302,231.550202
5,12,-29.751401,111.557538,235.557882
5,13,-19.464086,138.823335,231.825004
5,14,-40.23742,132.05554,228.846003
5,15,-22.403511,98.915235,227.824994
5,16,-36.564736,95.288151,226.783613
,,,,
6,1,49.62045,80.198569,261.89135
6,2,41.589835,69.259466,262.844627
6,3,14.399867,95.495347,263.547882
6,4,0.706219,91.358798,255.956647
6,5,-17.918514,82.321675,260.536672
6,6,-8.746644,76.134284,239.971362
6,7,-23.651463,74.567452,241.425343
6,8,-47.268582,90.277104,248.93155
