ndb,tree,cubeSize,output,length,branch
110,0,2,1,2,C.1
110,0,2,2,2,C.2
110,0,2,3,2,C.3
110,0,2,4,2,C.4
110,0,2,5,2,C.5
110,0,2,6,2,C.6
110,0,2,7,2,C.7
110,0,2,8,2,C.8
110,0,2,9,6,A.6
110,0,2,10,6,A.8
110,0,2,11,6,A.10
179,0,2,4,6,A.4
179,0,2,5,6,A.5
179,0,2,6,6,A.6
179,0,2,7,6,A.7
179,0,2,9,9,A.9
179,0,2,11,6,A.11
179,0,2,12,6,A.12
179,0,2,14,6,A.3
179,0,2,15,6,A.1
179,0,2,16,6,A.2
199,0,2,1,6,A.13
199,0,2,2,6,A.14
199,0,2,4,6,A.16
199,0,2,5,4,B.1
199,0,2,6,4,B.2
199,0,2,7,4,B.3
199,0,2,8,4,B.4
199,0,2,9,4,B.5
199,0,2,10,4,B.6
199,0,2,11,4,B.7
199,0,2,12,4,B.8
199,0,2,15,6,A.15
131,1,2,1,5,A.1
131,1,2,2,5,A.2
131,1,2,3,5,A.3
131,1,2,4,5,A.4
131,1,2,7,5,A.7
131,1,2,8,5,A.8
131,1,2,9,5,A.9
131,1,2,10,5,A.10
131,1,2,11,5,A.11
131,1,2,12,5,A.12
131,1,2,13,5,A.13
131,1,2,14,5,A.14
131,1,2,15,5,A.5
131,1,2,16,5,A.6
184,1,2,1,4,B.1
184,1,2,2,4,B.2
184,1,2,3,4,B.3
184,1,2,4,4,B.4
184,1,2,5,4,B.5
184,1,2,6,4,B.6
184,1,2,8,4,B.8
184,1,2,9,5,A.15
184,1,2,10,5,A.16
184,1,2,15,4,B.7
122,2,0,1,4,0.4.A
122,2,0,2,4,0.3R.B
122,2,0,3,4,0.3R.A
122,2,0,4,4,0.2R.B
122,2,0,5,4,0.2R.A
122,2,0,6,4,0.1R.B
122,2,0,7,4,0.1R.A
122,2,0,8,4,0.0.B
122,2,0,9,4,0.0.A
122,2,0,10,4,0.1L.B
122,2,0,11,4,0.1L.A
122,2,0,12,4,0.2L.B
122,2,0,13,4,0.2L.A
122,2,0,14,4,0.3L.B
122,2,0,15,4,0.3L.A
122,2,0,16,4,0.4.B
123,3,0,1,4,0.4.A
123,3,0,2,4,0.3R.B
