Pixel #,Original Facet ID ,X,Z,Y,,,,,,,,,
1,136,-87.8004,-24.280567,111.1101,,,,,,,,,NOTES:
2,135,-66.0702,-40.4064,106.623733,,,,,,,,,
3,240,-50.282867,-36.1149,85.888967,,,,,,,,,
4,241,-26.232067,-45.6808,82.729967,,,,,,,,,UNITS IN MM
5,244,24.3793,-46.8636,83.1339,,,,,,,,,"LEFT HANDED AXIS SYSTEM (X,Z,Y)"
6,245,48.670467,-37.5021,86.622033,,,,,,,,,ORIGIN IS BOTTOM POINT OF HEART
7,146,64.272433,-41.6298,107.5955,,,,,,,,,
8,147,86.662633,-26.8105,112.2034,,,,,,,,,
9,151,86.2556,-2.975967,101.410967,,,,,,,,,
10,152,96.6943,15.526867,113.562967,,,,,,,,,
11,150,115.622367,9.654067,130.654667,,,,,,,,,
12,149,121.479933,-16.353467,139.2989,,,,,,,,,
13,148,102.9589,-34.3152,132.999633,,,,,,,,,
14,143,96.119133,-53.7221,150.5181,,,,,,,,,
15,144,69.868633,-63.344167,148.2468,,,,,,,,,
16,145,54.3182,-58.756567,126.120433,,,,,,,,,
17,130,26.791267,-66.034267,123.531267,,,,,,,,,
18,131,13.2772,-73.8726,143.2434,,,,,,,,,
19,129,12.454333,-58.269,101.5182,,,,,,,,,
20,128,-14.7435,-58.293967,101.288633,,,,,,,,,
21,132,-15.762233,-73.358667,143.0722,,,,,,,,,
22,133,-29.446,-65.5453,123.1305,,,,,,,,,
23,134,-56.7219,-57.223633,125.3066,,,,,,,,,
24,142,-72.769333,-61.9192,147.151167,,,,,,,,,
25,141,-98.773033,-52.279267,148.988933,,,,,,,,,
26,139,-121.860133,-12.6812,138.086533,,,,,,,,,
27,140,-104.4558,-31.457867,131.630733,,,,,,,,,
28,138,-95.5146,18.6318,113.096733,,,,,,,,,
29,137,-86.146,-0.610367,100.667867,,,,,,,,,
30,236,-67.740667,7.7112,83.790133,,,,,,,,,
31,237,-53.607733,-11.6675,73.4976,,,,,,,,,
32,238,-38.862267,-2.6198,55.870033,,,,,,,,,
33,254,-9.8421,-5.7139,25.786733,,,,,,,,,
34,239,-21.830267,-16.137367,47.2606,,,,,,,,,
35,242,-12.524933,-34.750967,61.729167,,,,,,,,,
36,243,10.8886,-35.958733,61.903533,,,,,,,,,
37,252,21.160367,-17.3577,47.434967,,,,,,,,,
38,253,9.735,-5.726467,25.786733,,,,,,,,,
39,251,39.311167,-3.983867,56.165267,,,,,,,,,
40,246,53.330567,-13.2234,74.121967,,,,,,,,,
41,249,38.6017,25.235367,64.1395,,,,,,,,,
42,247,68.5255,6.483433,84.303,,,,,,,,,
43,248,55.2319,30.7245,83.6543,,,,,,,,,
44,154,56.7018,45.160133,100.879233,,,,,,,,,
45,153,80.4341,39.4219,113.679933,,,,,,,,,
46,155,79.926533,52.7808,132.8389,,,,,,,,,
47,156,54.8007,66.754333,137.7837,,,,,,,,,
48,157,29.225933,68.3688,124.556067,,,,,,,,,
49,158,30.619467,60.1335,106.810567,,,,,,,,,
50,250,20.6562,36.362767,65.331033,,,,,,,,,
51,159,11.204067,56.825267,90.777167,,,,,,,,,
52,160,-9.559367,57.116533,90.777533,,,,,,,,,
53,161,-27.962767,60.759367,106.730633,,,,,,,,,
54,163,-78.275367,41.579867,113.4845,,,,,,,,,
55,162,-54.621833,46.665633,100.736433,,,,,,,,,
56,235,-53.455733,32.039133,83.470933,,,,,,,,,
57,234,-36.921633,25.682933,64.019,,,,,,,,,
58,233,-19.684333,36.6666,65.3314,,,,,,,,,
59,208,-29.167733,33.421867,312.6981,,,,,,,,,
60,39,-27.003433,15.239533,320.5054,,,,,,,,,
61,38,-49.5374,0.7103,333.112867,,,,,,,,,
62,36,-45.597,-21.195,325.835933,,,,,,,,,
63,35,-65.531667,-38.898733,320.624733,,,,,,,,,
64,34,-58.041933,-58.719133,300.6997,,,,,,,,,
65,29,-75.889733,-70.529167,285.126433,,,,,,,,,
66,30,-63.0838,-82.0699,260.5178,,,,,,,,,
67,99,-76.981533,-82.884,237.846967,,,,,,,,,
68,100,-62.314733,-83.962233,212.175433,,,,,,,,,
69,101,-76.322133,-78.055533,190.040767,,,,,,,,,
70,95,-115.0612,-55.411133,171.469667,,,,,,,,,
71,96,-104.070167,-68.131,192.0539,,,,,,,,,
72,97,-119.0078,-65.171633,216.774767,,,,,,,,,
73,98,-105.926567,-74.017933,240.433167,,,,,,,,,
74,27,-119.420267,-66.805967,266.6381,,,,,,,,,
75,28,-103.281167,-64.1313,288.660533,,,,,,,,,
76,16,-112.802133,-46.610933,313.0828,,,,,,,,,
77,15,-92.900433,-33.1884,329.473733,,,,,,,,,
