ndb,tree,cubeSize,output,length,branch
122,0,2,1,5,2.3R.B
122,0,2,3,4,2.1R.B
122,0,2,4,4,2.3R.A
122,0,2,5,4,2.1L.A
122,0,2,6,7,2.3L.A
122,0,2,7,4,2.1L.B
122,0,2,8,7,2.3L.B
122,0,2,13,3,2.1R.A
111,0,2,1,11,0.2L.B
111,0,2,2,10,0.3L.B
111,0,2,3,16,0.4.B
111,0,2,4,10,0.2R.B
111,0,2,5,10,0.2R.A
111,0,2,7,10,0.3L.A
111,0,2,8,8,0.1R.B
112,0,2,1,10,0.1L.B
112,0,2,2,10,0.1L.A
112,0,2,3,7,0.0.B
112,0,2,5,9,0.2L.A
112,0,2,6,7,0.0.A
112,0,2,7,14,0.3R.B
112,0,2,8,14,0.3R.A
121,0,2,1,6,1.2R.B
121,0,2,2,7,1.2R.A
121,0,2,3,7,1.4.B
121,0,2,4,5,1.0.B
121,0,2,5,7,1.4.A
121,0,2,6,5,1.0.A
121,0,2,7,7,1.2L.B
121,0,2,8,8,1.2L.A
121,0,2,9,15,0.4.A
121,0,2,14,8,0.1R.A
