ndb,tree,cubeSize,output,length,branch
110,0,2,1,6,1.2R.A
110,0,2,2,3,1.0.B
110,0,2,3,5,1.0.A
110,0,2,4,2,1.2L.B
110,0,2,5,7,1.2L.A
110,0,2,6,7,1.4.B
110,0,2,7,3,2.3R.B
110,0,2,8,4,2.3R.A
110,0,2,9,2,2.1R.B
110,0,2,10,3,2.1R.A
110,0,2,11,3,2.1L.B
110,0,2,12,2,2.1L.A
110,0,2,13,3,2.3L.B
110,0,2,14,3,2.3L.A
179,0,2,1,10,0.4.A
179,0,2,2,9,0.3R.B
179,0,2,3,8,0.3R.A
179,0,2,4,9,0.2R.B
179,0,2,5,9,0.2R.A
179,0,2,6,5,0.1R.B
179,0,2,7,6,0.1R.A
179,0,2,8,5,0.0.B
179,0,2,9,6,0.0.A
199,0,2,1,7,0.1L.B
199,0,2,2,7,0.1L.A
199,0,2,3,9,0.2L.B
199,0,2,4,8,0.2L.A
199,0,2,6,8,0.3L.A
199,0,2,7,9,0.4.B
199,0,2,8,8,1.4.A
199,0,2,9,6,1.2R.B
199,0,2,14,9,0.3L.B
131,1,2,1,7,0.4.A
131,1,2,2,7,0.3R.B
131,1,2,3,6,0.3R.A
131,1,2,4,5,0.2R.B
131,1,2,5,4,0.2R.A
131,1,2,6,4,0.1R.B
131,1,2,7,4,0.1R.A
131,1,2,8,4,0.0.B
131,1,2,9,4,0.0.A
131,1,2,10,4,0.1L.B
131,1,2,11,4,0.1L.A
131,1,2,12,5,0.2L.B
131,1,2,13,5,0.2L.A
184,1,2,1,6,0.3L.B
184,1,2,2,8,0.3L.A
184,1,2,3,7,0.4.B
184,1,2,4,5,1.4.A
184,1,2,5,4,1.2R.B
184,1,2,6,5,1.2R.A
184,1,2,7,4,1.0.B
184,1,2,8,3,1.0.A
184,1,2,9,3,1.2L.B
184,1,2,10,4,1.2L.A
184,1,2,14,4,1.4.B
155,2,0,1,4,0.4.A
155,2,0,2,4,0.3R.B
155,2,0,3,4,0.3R.A
155,2,0,4,4,0.2R.B
155,2,0,5,4,0.2R.A
155,2,0,6,4,0.1R.B
155,2,0,7,4,0.1R.A
155,2,0,8,4,0.0.B
155,2,0,9,4,0.0.A
155,2,0,10,4,0.1L.B
155,2,0,11,4,0.1L.A
155,2,0,12,4,0.2L.B
155,2,0,13,4,0.2L.A
155,2,0,14,4,0.3L.B
155,2,0,15,4,0.3L.A
155,2,0,16,4,0.4.B
153,3,0,1,4,0.4.A
153,3,0,2,4,0.3R.B
153,3,0,3,4,0.3R.A
153,3,0,4,4,0.2R.B
153,3,0,5,4,0.2R.A
153,3,0,6,4,0.1R.B
153,3,0,7,4,0.1R.A
153,3,0,8,4,0.0.B
153,3,0,9,4,0.0.A
153,3,0,10,4,0.1L.B
153,3,0,11,4,0.1L.A
153,3,0,12,4,0.2L.B
153,3,0,13,4,0.2L.A
153,3,0,14,4,0.3L.B
153,3,0,15,4,0.3L.A
153,3,0,16,4,0.4.B
152,4,0,1,4,0.4.A
152,4,0,2,4,0.3R.B
152,4,0,3,4,0.3R.A
152,4,0,4,4,0.2R.B
152,4,0,5,4,0.2R.A
152,4,0,6,4,0.1R.B
152,4,0,7,4,0.1R.A
152,4,0,8,4,0.0.B
152,4,0,9,4,0.0.A
152,4,0,10,4,0.1L.B
152,4,0,11,4,0.1L.A
152,4,0,12,4,0.2L.B
152,4,0,13,4,0.2L.A
152,4,0,14,4,0.3L.B
152,4,0,15,4,0.3L.A
152,4,0,16,4,0.4.B
157,5,0,1,4,0.4.A
157,5,0,2,4,0.3R.B
157,5,0,3,4,0.3R.A
157,5,0,4,4,0.2R.B
157,5,0,5,4,0.2R.A
157,5,0,6,4,0.1R.B
157,5,0,7,4,0.1R.A
157,5,0,8,4,0.0.B
157,5,0,9,4,0.0.A
157,5,0,10,4,0.1L.B
157,5,0,11,4,0.1L.A
157,5,0,12,4,0.2L.B
157,5,0,13,4,0.2L.A
157,5,0,14,4,0.3L.B
157,5,0,15,4,0.3L.A
157,5,0,16,4,0.4.B
150,6,0,1,4,0.4.A
150,6,0,2,4,0.3R.B
150,6,0,3,4,0.3R.A
150,6,0,4,4,0.2R.B
150,6,0,5,4,0.2R.A
150,6,0,6,4,0.1R.B
150,6,0,7,4,0.1R.A
150,6,0,8,4,0.0.B
150,6,0,9,4,0.0.A
150,6,0,10,4,0.1L.B
150,6,0,11,4,0.1L.A
150,6,0,12,4,0.2L.B
150,6,0,13,4,0.2L.A
150,6,0,14,4,0.3L.B
150,6,0,15,4,0.3L.A
150,6,0,16,4,0.4.B
151,7,0,1,4,0.4.A
151,7,0,2,4,0.3R.B
151,7,0,3,4,0.3R.A
151,7,0,4,4,0.2R.B
151,7,0,5,4,0.2R.A
151,7,0,6,4,0.1R.B
151,7,0,7,4,0.1R.A
151,7,0,8,4,0.0.B
151,7,0,9,4,0.0.A
151,7,0,10,4,0.1L.B
151,7,0,11,4,0.1L.A
151,7,0,12,4,0.2L.B
151,7,0,13,4,0.2L.A
151,7,0,14,4,0.3L.B
151,7,0,15,4,0.3L.A
151,7,0,16,4,0.4.B
